season,timestamp,match_datetime,home_team_name,away_team_name,stadium_name,referee,attendance,target_outcome,Away_Team_Pre_Match_xG,Home_Team_Pre_Match_xG,average_corners_per_match_pre_match,away_team_fouls,away_team_possession,away_team_red_cards,away_team_shots,away_team_shots_off_target,away_team_shots_on_target,away_team_yellow_cards,home_team_fouls,home_team_possession,home_team_red_cards,home_team_shots,home_team_shots_off_target,home_team_shots_on_target,home_team_yellow_cards,team_a_xg,team_b_xg
2021,1642532400,2022-01-18 19:00:00,Gabon,Morocco,Stade Omnisport Ahmadou Ahidjo,,,DRAW,1.9,1.35,9.5,14,62,0,12,6,6,1,22,38,0,13,7,6,2,1.35,1.41
2021,1642532400,2022-01-18 19:00:00,Ghana,Comoros,Stade Omnisport Roumdé Adjia,,,AWAY_WIN,1.05,0.76,6.0,24,38,0,14,10,4,1,8,62,1,21,12,9,1,2.35,1.36
2021,1642618800,2022-01-19 19:00:00,Guinea-Bissau,Nigeria,Stade Omnisport Roumdé Adjia,,,AWAY_WIN,1.9,1.14,6.5,22,53,0,17,12,5,0,11,47,0,11,9,2,0,1.01,1.87
2021,1642618800,2022-01-19 19:00:00,Egypt,Sudan,Stade Omnisport Ahmadou Ahidjo,,,HOME_WIN,1.0,1.32,8.0,7,38,0,9,6,3,2,14,62,0,13,8,5,1,1.65,0.96
2021,1642694400,2022-01-20 16:00:00,Ivory Coast,Algeria,Stade de la Réunification,,,HOME_WIN,1.96,1.65,17.5,20,56,0,15,10,5,2,18,44,0,16,5,11,3,1.98,1.59
2021,1642694400,2022-01-20 16:00:00,Sierra Leone,Equatorial Guinea,,,,AWAY_WIN,1.15,0.98,4.5,12,53,0,19,12,7,3,24,47,1,6,3,3,5,0.8,2.04
2021,1642705200,2022-01-20 19:00:00,Gambia,Tunisia,,,,HOME_WIN,1.38,0.71,7.5,12,69,1,17,14,3,3,11,31,0,11,9,2,2,0.97,1.67
2021,1642705200,2022-01-20 19:00:00,Mali,Mauritania,Stade de la Réunification,,,HOME_WIN,1.48,1.47,10.5,18,34,0,7,3,4,2,22,66,0,17,11,6,1,1.78,0.81
2021,1642953600,2022-01-23 16:00:00,Burkina,Gabon,,,,DRAW,1.35,1.3,8.0,29,53,1,20,14,6,7,31,47,0,18,9,9,6,2.13,2.3
2021,1642964400,2022-01-23 19:00:00,Nigeria,Tunisia,Stade Omnisport Roumdé Adjia,,,AWAY_WIN,1.48,1.89,12.33,22,47,0,9,5,4,2,16,53,1,15,13,2,1,1.47,1.01
2021,1643040000,2022-01-24 16:00:00,Guinea,Gambia,Stade Municipal de Bangangte,,,AWAY_WIN,0.8,1.35,8.67,17,49,1,12,8,4,2,19,51,1,20,17,3,1,1.82,1.17
2021,1643050800,2022-01-24 19:00:00,Cameroon,Comoros,,,,HOME_WIN,1.15,1.91,9.67,8,34,1,12,4,8,2,11,66,0,16,9,7,2,1.9,1.42
2021,1643126400,2022-01-25 16:00:00,Senegal,Cape Verde Islands,Stade Municipal de Bangangte,,,HOME_WIN,1.03,1.42,12.0,14,37,2,3,1,2,0,12,63,0,17,12,5,1,1.88,0.48
2021,1643137200,2022-01-25 19:00:00,Morocco,Malawi,Stade Omnisport Ahmadou Ahidjo,,,HOME_WIN,1.07,1.74,10.0,18,25,0,5,2,3,3,11,75,0,26,15,11,0,2.96,0.6
2021,1643212800,2022-01-26 16:00:00,Ivory Coast,Egypt,Stade de la Réunification,,,DRAW,1.43,1.76,13.0,16,45,0,21,15,6,1,20,55,0,14,5,9,3,2.04,2.07
2021,1643223600,2022-01-26 19:00:00,Mali,Equatorial Guinea,,,,DRAW,1.44,1.57,9.0,31,42,0,10,8,2,4,11,58,0,16,14,2,1,1.62,1.06
2021,1643472000,2022-01-29 16:00:00,Gambia,Cameroon,,,,AWAY_WIN,1.91,0.89,9.0,15,61,0,19,11,8,1,12,39,0,3,1,2,3,0.49,2.17
2021,1643482800,2022-01-29 19:00:00,Burkina,Tunisia,Stade Omnisport Roumdé Adjia,,,HOME_WIN,1.36,1.51,11.0,16,61,0,11,7,4,1,17,39,1,11,5,6,4,1.38,1.45
2021,1643554800,2022-01-30 15:00:00,Egypt,Morocco,Stade Omnisport Ahmadou Ahidjo,,,HOME_WIN,2.04,1.59,14.75,18,46,0,12,7,5,2,30,54,0,10,5,5,4,1.34,1.45
2021,1643569200,2022-01-30 19:00:00,Senegal,Equatorial Guinea,Stade Omnisport Ahmadou Ahidjo,,,HOME_WIN,1.35,1.53,9.5,19,56,0,8,5,3,1,23,44,0,12,6,6,2,1.46,0.93
2021,1643828400,2022-02-02 19:00:00,Burkina,Senegal,,,,AWAY_WIN,1.52,1.48,11.2,10,51,0,19,11,8,2,15,49,0,11,7,4,1,1.29,2.09
2021,1643914800,2022-02-03 19:00:00,Cameroon,Egypt,,,,DRAW,1.54,1.96,14.2,23,47,0,5,3,2,2,14,53,0,9,5,4,1,1.28,0.67
2021,1644087600,2022-02-05 19:00:00,Burkina,Cameroon,Stade Omnisport Ahmadou Ahidjo,,,DRAW,1.85,1.45,12.17,14,64,0,19,10,9,2,20,36,0,9,4,5,4,1.04,2.17
2021,1644174000,2022-02-06 19:00:00,Senegal,Egypt,,,,DRAW,1.4,1.61,12.33,30,43,0,5,2,3,2,23,57,0,10,4,6,4,1.48,0.7
